Episode = 308, Score = 138.30139889925266, Avg_Score = 90.99658764464684
Episode = 309, Score = 202.72889400175438, Avg_Score = 93.97053287969415
Episode = 310, Score = 260.0860714326012, Avg_Score = 101.48853673521921
Episode = 311, Score = 184.1015606070145, Avg_Score = 94.8008970345317
Episode = 312, Score = -14.529239435007113, Avg_Score = 71.91458997119877
Episode = 313, Score = 127.81004885612705, Avg_Score = 63.741696151863245
Episode = 314, Score = 184.64992857482287, Avg_Score = 81.24837189084288
Episode = 315, Score = 188.12177077707048, Avg_Score = 99.2559981015249
Episode = 316, Score = -106.71074694461159, Avg_Score = 94.1502208025735
Episode = 317, Score = 174.8596738423986, Avg_Score = 133.94193606114231
Episode = 318, Score = 129.77234232333035, Avg_Score = 133.08903040355005
Episode = 319, Score = 231.13268004448292, Avg_Score = 135.92940900782293
Episode = 320, Score = 243.06704369633877, Avg_Score = 134.22750623419668
Episode = 321, Score = 176.875739579672, Avg_Score = 133.50492413146245
Episode = 322, Score = -483.2008425097229, Avg_Score = 86.63776382399087
Episode = 323, Score = 192.63674573114258, Avg_Score = 93.12043351149241
Episode = 324, Score = 223.6741544836001, Avg_Score = 97.02285610237013
Episode = 325, Score = 220.8162122602393, Avg_Score = 100.292300250687
Episode = 326, Score = 181.32801579641284, Avg_Score = 129.09617652478946
Episode = 327, Score = 199.47047902725382, Avg_Score = 131.557257043275
Episode = 328, Score = 198.62545195510174, Avg_Score = 138.44256800645212
Episode = 329, Score = -5.088990119795582, Avg_Score = 114.82040099002424
Episode = 330, Score = 247.98574849314804, Avg_Score = 115.31227146970521
Episode = 331, Score = 198.66835827558623, Avg_Score = 117.49153333929662
Episode = 332, Score = 142.8553058641806, Avg_Score = 180.09714817668697
Episode = 333, Score = -190.5367156197243, Avg_Score = 141.77980204160025
Episode = 334, Score = -17.248501730759912, Avg_Score = 117.68753642016426
Episode = 335, Score = 279.28189549204023, Avg_Score = 123.53410474334437
Episode = 336, Score = 201.29412875892615, Avg_Score = 125.5307160395957
Episode = 337, Score = 187.6740980463461, Avg_Score = 124.3510779415049
Episode = 338, Score = 225.40616647120328, Avg_Score = 127.02914939311509
Episode = 339, Score = -11.367854508598938, Avg_Score = 126.40126295423474
Episode = 340, Score = -115.37087169764797, Avg_Score = 90.06560093515515
Episode = 341, Score = 225.5282757798393, Avg_Score = 92.75159268558045
Episode = 342, Score = 253.74684841214588, Avg_Score = 103.84074694037699
Episode = 343, Score = 273.05111919197753, Avg_Score = 150.19953042154717
Episode = 344, Score = 265.4913652215504, Avg_Score = 178.4735171167782
Episode = 345, Score = 203.7858515801185, Avg_Score = 170.92391272558604
Episode = 346, Score = 264.8528044749705, Avg_Score = 177.27978029719048
