Episode = 167, Score = 212.19260417286856, Avg_Score = 211.54010603203938
Episode = 168, Score = 208.20638684055336, Avg_Score = 209.16655363201585
Episode = 169, Score = 276.48344647778003, Avg_Score = 212.34369348387804
Episode = 170, Score = 220.11635951732683, Avg_Score = 207.5352034923988
Episode = 171, Score = 227.2628331268212, Avg_Score = 205.50383981399492
Episode = 172, Score = 286.73297613341686, Avg_Score = 213.54560796155906
Episode = 173, Score = 296.26802163360236, Avg_Score = 214.55432775413902
Episode = 174, Score = 275.6610470158902, Avg_Score = 223.30065618875292
Episode = 175, Score = 235.83398329820943, Avg_Score = 244.390942082693
Episode = 176, Score = 189.95700303004793, Avg_Score = 242.87146612465168
Episode = 177, Score = -160.50138701499407, Avg_Score = 205.60206700586542
Episode = 178, Score = 226.5941546980839, Avg_Score = 207.44084379161845
Episode = 179, Score = 214.15192628243184, Avg_Score = 201.20769177208365
Episode = 180, Score = 215.8701606901826, Avg_Score = 200.7830718893692
Episode = 181, Score = 230.5973897643164, Avg_Score = 201.11652755311871
Episode = 182, Score = 227.80255504428942, Avg_Score = 195.223485444206
Episode = 183, Score = 227.65283427215388, Avg_Score = 188.36196670806117
Episode = 184, Score = 259.8767713934982, Avg_Score = 186.78353914582195
Episode = 185, Score = 255.931439346717, Avg_Score = 188.79328475067274
Episode = 186, Score = 272.89558556032074, Avg_Score = 197.0871430037
Episode = 187, Score = -4.900245075044964, Avg_Score = 212.6472571976949
Episode = 188, Score = 262.4039820272692, Avg_Score = 216.22823993061343
Episode = 189, Score = -64.22904642280949, Avg_Score = 188.3901426600893
Episode = 190, Score = 245.52050735804008, Avg_Score = 191.35517732687504
Episode = 191, Score = 237.10402873036293, Avg_Score = 192.00584122347968
Episode = 192, Score = -107.66877398572358, Avg_Score = 158.4587083204784
Episode = 193, Score = 275.65808596805255, Avg_Score = 163.25923349006828
Episode = 194, Score = 223.87713812694153, Avg_Score = 159.6592701634126
Episode = 195, Score = 243.21803426634432, Avg_Score = 158.38792965537533
Episode = 196, Score = 217.89231651183832, Avg_Score = 152.8876027505271
Episode = 197, Score = -208.92252396372047, Avg_Score = 132.48537486165952
Episode = 198, Score = 286.5035120292089, Avg_Score = 134.8953278618535
Episode = 199, Score = 236.5401791494734, Avg_Score = 164.97225041908183
Episode = 200, Score = 195.63333924747582, Avg_Score = 159.98353360802537
Episode = 201, Score = 229.17109277743336, Avg_Score = 159.19024001273243
Episode = 202, Score = 241.8938959665122, Avg_Score = 194.146507007956
Episode = 203, Score = 285.466278856985, Avg_Score = 195.12732629684925
Episode = 204, Score = 237.8822558756162, Avg_Score = 196.5278380717167
Episode = 205, Score = 250.40204688637547, Avg_Score = 197.24623933371984
Episode = 206, Score = 250.06487868418282, Avg_Score = 200.4634955509543
Episode = 207, Score = 217.8642259010909, Avg_Score = 243.14217053743542
Episode = 208, Score = 242.40507579008963, Avg_Score = 238.73232691352345
Episode = 209, Score = -299.420786877862, Avg_Score = 185.13623031078993
Episode = 210, Score = -77.70837032251944, Avg_Score = 157.8020593537904
Episode = 211, Score = -70.6947061523549, Avg_Score = 127.81547946081159
Episode = 212, Score = 258.3704599734658, Avg_Score = 129.46313586150694
Episode = 213, Score = 220.67327285823242, Avg_Score = 122.9838352616317
