Episode = 120, Score = 302.9059451527428, Avg_Score = 166.96882403431871
Episode = 121, Score = 278.4152316078762, Avg_Score = 176.0608962185956
Episode = 122, Score = 231.8603753443684, Avg_Score = 176.08091158663902
Episode = 123, Score = 288.40695671538754, Avg_Score = 183.26175058046206
Episode = 124, Score = 225.8343577848542, Avg_Score = 202.11069556148536
Episode = 125, Score = 230.04510699405228, Avg_Score = 208.74022700589794
Episode = 126, Score = 279.20352455807534, Avg_Score = 212.76665048569035
Episode = 127, Score = 248.42359786450902, Avg_Score = 225.7343817613717
Episode = 128, Score = 275.4716993540885, Avg_Score = 243.63601172394064
Episode = 129, Score = 275.7150816574178, Avg_Score = 263.6281877033372
Episode = 130, Score = 48.13392901852927, Avg_Score = 238.1509860899158
Episode = 131, Score = 254.75721387843666, Avg_Score = 235.78518431697188
Episode = 132, Score = 236.85510353819058, Avg_Score = 236.2846571363541
Episode = 133, Score = 221.14660205144662, Avg_Score = 229.55862166996002
Episode = 134, Score = -13.183711061649532, Avg_Score = 205.65681478530968
Episode = 135, Score = 287.1734832995179, Avg_Score = 211.36965241585622
Episode = 136, Score = 234.09543954923208, Avg_Score = 206.85884391497189
Episode = 137, Score = 291.79981972380483, Avg_Score = 211.1964661009015
Episode = 138, Score = 124.5581400142545, Avg_Score = 196.10511016691808
Episode = 139, Score = 260.3879606729528, Avg_Score = 194.57239806847156
Episode = 140, Score = 262.63756005260706, Avg_Score = 216.02276117187935
Episode = 141, Score = 17.357725549054322, Avg_Score = 192.2828123389411
Episode = 142, Score = 103.39806779403685, Avg_Score = 178.93710876452573
Episode = 143, Score = 113.03307649478778, Avg_Score = 168.12575620885985
Episode = 144, Score = 143.18949653159166, Avg_Score = 183.76307696818398
Episode = 145, Score = 281.20325102172075, Avg_Score = 183.16605374040427
Episode = 146, Score = 244.19550021648882, Avg_Score = 184.17605980712992
Episode = 147, Score = 108.42126819140927, Avg_Score = 165.8382046538904
Episode = 148, Score = 265.7174205850989, Avg_Score = 179.95413271097482
Episode = 149, Score = 270.52606420590064, Avg_Score = 180.9679430642696
Episode = 150, Score = 145.28190093683025, Avg_Score = 169.23237715269192
Episode = 151, Score = 278.39200351946386, Avg_Score = 195.3358049497329
Episode = 152, Score = 107.50354679780342, Avg_Score = 195.74635285010953
Episode = 153, Score = 275.76701965430243, Avg_Score = 212.019747166061
Episode = 154, Score = 277.54520570592115, Avg_Score = 225.45531808349398
Episode = 155, Score = 175.94890499767453, Avg_Score = 214.92988348108935
Episode = 156, Score = 293.2855238120882, Avg_Score = 219.83888584064925
Episode = 157, Score = -0.8547321040462208, Avg_Score = 208.9112858111037
Episode = 158, Score = 205.5521596939961, Avg_Score = 202.89475972199347
Episode = 159, Score = 259.7912496619934, Avg_Score = 201.8212782676027
Episode = 160, Score = 284.64403297112756, Avg_Score = 215.75749147103244
Episode = 161, Score = 222.44786917556155, Avg_Score = 210.16307803664222
Episode = 162, Score = -1.652565394896925, Avg_Score = 199.24746681737219
Episode = 163, Score = 136.67067793816082, Avg_Score = 185.33783264575803
Episode = 164, Score = 264.8335108612799, Avg_Score = 184.0666631612939
Episode = 165, Score = 271.594407837145, Avg_Score = 193.63121344524092
Episode = 166, Score = 27.943663589265867, Avg_Score = 167.09702742295875
Episode = 167, Score = 132.32577212198882, Avg_Score = 180.41507784556222
Episode = 168, Score = -27.557581250490898, Avg_Score = 157.1041037511135
Episode = 169, Score = 157.5341086986982, Avg_Score = 146.878389654784
Episode = 170, Score = 291.71622260765463, Avg_Score = 147.58560861843668
Episode = 171, Score = 262.45404199129666, Avg_Score = 151.58622590001022
Episode = 172, Score = 175.8530597225652, Avg_Score = 169.33678841175643
Episode = 173, Score = 258.0930361171629, Avg_Score = 181.47902422965663
Episode = 174, Score = 302.1103830359892, Avg_Score = 185.20671144712756
Episode = 175, Score = 264.45867353387035, Avg_Score = 184.49313801680006
Episode = 176, Score = 294.1352928949161, Avg_Score = 211.1123009473651
Episode = 177, Score = 233.44475401499272, Avg_Score = 221.22419913666553
Episode = 178, Score = 240.12302880536384, Avg_Score = 247.99226014225096
Episode = 179, Score = 270.60279705283097, Avg_Score = 259.2991289776643
Episode = 180, Score = 309.3738082619078, Avg_Score = 261.0648875430896
Episode = 181, Score = 119.74996628190469, Avg_Score = 246.79447997215038
Episode = 182, Score = 288.1751052253828, Avg_Score = 258.02668452243216
Episode = 183, Score = 275.00428732653177, Avg_Score = 259.71780964336904
Episode = 184, Score = -83.29771913455706, Avg_Score = 221.17699942631438
Episode = 185, Score = 259.5189022091683, Avg_Score = 220.68302229384418
Episode = 186, Score = 299.7410242411195, Avg_Score = 221.24359542846452
Episode = 187, Score = 274.3438761201896, Avg_Score = 225.3335076389842
Episode = 188, Score = 118.33301969827264, Avg_Score = 213.1545067282751
Episode = 189, Score = 145.31738944275244, Avg_Score = 200.62596596726726
Episode = 190, Score = 110.56307052919067, Avg_Score = 180.74489219399555
Episode = 191, Score = 278.3287526716897, Avg_Score = 196.60277083297404
Episode = 192, Score = 246.3996120385771, Avg_Score = 192.42522151429347
Episode = 193, Score = 221.5263818817313, Avg_Score = 187.0774309698134
Episode = 194, Score = 243.28494607308903, Avg_Score = 219.73569749057805
Episode = 195, Score = 259.2702125172383, Avg_Score = 219.71082852138503
Episode = 196, Score = 263.971302806946, Avg_Score = 216.13385637796765
