Episode = 167, Score = 132.10443638813368, Avg_Score = 221.4466554123827
Episode = 168, Score = 242.90608038479, Avg_Score = 221.10334654906822
Episode = 169, Score = 92.53408883049823, Avg_Score = 221.0363602002118
Episode = 170, Score = 222.54518432436564, Avg_Score = 221.76917088312123
Episode = 171, Score = 6.4432400673075705, Avg_Score = 219.25955996466809
Episode = 172, Score = 88.39333507689702, Avg_Score = 218.97456835272425
Episode = 173, Score = 260.9136269294772, Avg_Score = 219.11339428589383
Episode = 174, Score = 291.13434272007186, Avg_Score = 219.3530402706075
Episode = 175, Score = 253.19272217496496, Avg_Score = 219.35301548097428
Episode = 176, Score = 140.9316763104656, Avg_Score = 218.97131043573742
Episode = 177, Score = 179.84037929339036, Avg_Score = 219.46939417598148
Episode = 178, Score = 275.8200664128227, Avg_Score = 219.27132474632853
Episode = 179, Score = 237.10642256564407, Avg_Score = 219.0435763444313
Episode = 180, Score = 276.38485658681077, Avg_Score = 220.64328995236093
Episode = 181, Score = 269.53490663620704, Avg_Score = 221.00980820128063
Episode = 182, Score = 262.22750509259413, Avg_Score = 221.88884101171175
Episode = 183, Score = 269.0347632090492, Avg_Score = 222.02033218109187
Episode = 184, Score = 251.8749611467591, Avg_Score = 223.40505864199883
Episode = 185, Score = 132.8929350186522, Avg_Score = 223.635348516859
Episode = 186, Score = 255.2435096540422, Avg_Score = 225.02710405924543
Episode = 187, Score = 247.00742976245195, Avg_Score = 224.9646102347783
Episode = 188, Score = 233.8106002338594, Avg_Score = 225.65939657280884
Episode = 189, Score = 256.19347769739886, Avg_Score = 225.43915922743784
Episode = 190, Score = 283.60135352297095, Avg_Score = 225.7931853191552
Episode = 191, Score = 271.3372559015287, Avg_Score = 227.15319825629658
Episode = 192, Score = 265.65632649903534, Avg_Score = 227.39706783867211
Episode = 193, Score = 247.0785590167154, Avg_Score = 227.37815263232451
Episode = 194, Score = 236.3358108153818, Avg_Score = 226.98684035525025
Episode = 195, Score = 235.98837573006236, Avg_Score = 226.57153000778789
Episode = 196, Score = 289.6634346765227, Avg_Score = 226.6243845151075
Episode = 197, Score = 227.88600628879044, Avg_Score = 226.52778529921434
Episode = 198, Score = 119.81353213299141, Avg_Score = 225.27328858517
Episode = 199, Score = 111.09592600527141, Avg_Score = 225.24893791436742
Episode = 200, Score = -10.270086895330607, Avg_Score = 222.8802093389305
Episode = 201, Score = 256.90703821834336, Avg_Score = 223.0027635723761
Episode = 202, Score = 221.12564595098712, Avg_Score = 222.57025477041367
Episode = 203, Score = 246.023255203529, Avg_Score = 222.36463394534331
Episode = 204, Score = 260.1950500368391, Avg_Score = 222.31669315206523
Episode = 205, Score = 249.12078286278657, Avg_Score = 223.43769265350005
Episode = 206, Score = 117.07553598393051, Avg_Score = 222.10716970574893
Episode = 207, Score = 262.73326505286457, Avg_Score = 222.15704283557037
Episode = 208, Score = 120.71628276185182, Avg_Score = 220.6316241961039
Episode = 209, Score = 166.68151949709306, Avg_Score = 219.76190606285084
Episode = 210, Score = 257.88739673237376, Avg_Score = 219.41616427775773
Episode = 211, Score = 291.34302272503345, Avg_Score = 221.28412345122194
Episode = 212, Score = 259.7565393375944, Avg_Score = 221.51332701048992
Episode = 213, Score = 269.96895908734496, Avg_Score = 222.709607500625
Episode = 214, Score = 280.570503810649, Avg_Score = 222.57953332555502
Episode = 215, Score = 253.07885981203475, Avg_Score = 224.0804057248168
Episode = 216, Score = 134.96734708178187, Avg_Score = 223.07611751465413
Episode = 217, Score = 248.60697276825047, Avg_Score = 224.31653281857314
Episode = 218, Score = 270.61586570096364, Avg_Score = 224.65282370788043
Episode = 219, Score = 130.6032801689317, Avg_Score = 224.43399059897953
Episode = 220, Score = 232.79064065980026, Avg_Score = 224.18549612244385
Episode = 221, Score = 268.31769093450066, Avg_Score = 224.11569443185158
