Episode = 224, Score = 252.80583829455892, Avg_Score = 207.5820200035701
Episode = 225, Score = -37.39683294350033, Avg_Score = 180.773563659906
Episode = 226, Score = 229.79706726835605, Avg_Score = 180.8463581378109
Episode = 227, Score = 221.41230844584854, Avg_Score = 180.2698502813359
Episode = 228, Score = 217.5191790308426, Avg_Score = 210.64132171426368
Episode = 229, Score = 227.85792767811347, Avg_Score = 208.82118640831195
Episode = 230, Score = 191.41896848000778, Avg_Score = 203.2550983194725
Episode = 231, Score = 252.68409120695426, Avg_Score = 205.0353373580317
Episode = 232, Score = 230.32781408703892, Avg_Score = 206.55595056810006
Episode = 233, Score = 213.61215066457333, Avg_Score = 200.00385122127935
Episode = 234, Score = 247.08184157092657, Avg_Score = 199.43145154891613
Episode = 235, Score = 207.49141407367495, Avg_Score = 223.92027625063366
Episode = 236, Score = 267.66721238632067, Avg_Score = 227.70729076243015
Episode = 237, Score = 215.52525897677774, Avg_Score = 227.11858581552306
Episode = 238, Score = 234.39262030998162, Avg_Score = 228.80592994343698
Episode = 239, Score = -8.140753878461837, Avg_Score = 205.2060617877794
Episode = 240, Score = 227.0187235811153, Avg_Score = 208.76603729789016
Episode = 241, Score = 28.551397419805596, Avg_Score = 186.3527679191753
Episode = 242, Score = -259.11332499537116, Avg_Score = 137.40865401093427
Episode = 243, Score = -26.544714195238157, Avg_Score = 113.39296752495314
Episode = 244, Score = 222.36004863670973, Avg_Score = 110.92078823153145
Episode = 245, Score = -293.28240122103466, Avg_Score = 60.84340670206048
Episode = 246, Score = 254.3544789778099, Avg_Score = 59.51213336120939
Episode = 247, Score = -56.51614126444184, Avg_Score = 32.307993337087446
Episode = 248, Score = 275.0310384794037, Avg_Score = 36.371835154029654
Episode = 249, Score = -237.36809036766982, Avg_Score = 13.44910150510886
Episode = 250, Score = 251.5506590195023, Avg_Score = 15.90229504894756
Episode = 251, Score = 281.7320191948205, Avg_Score = 41.22035722644905
Episode = 252, Score = 51.97242762498368, Avg_Score = 72.32893248848453
Episode = 253, Score = 249.1683711487724, Avg_Score = 99.90024102288558
Episode = 254, Score = 266.12449542089576, Avg_Score = 104.27668570130417
Episode = 255, Score = -3.315975518009509, Avg_Score = 133.2733282716067
Episode = 256, Score = -34.11826423691369, Avg_Score = 104.42605395013433
Episode = 257, Score = 259.46652358424285, Avg_Score = 136.0243204350028
Episode = 258, Score = 165.71371507459872, Avg_Score = 125.09258809452231
Episode = 259, Score = 23.80517206183677, Avg_Score = 151.20991433747298
Episode = 260, Score = 284.69162168518244, Avg_Score = 154.524010604041
Episode = 261, Score = 254.89598350145536, Avg_Score = 151.84040703470447
Episode = 262, Score = -127.66162022412382, Avg_Score = 133.87700224979372
Episode = 263, Score = -186.91311336625722, Avg_Score = 90.26885379829078
Episode = 264, Score = 239.60301512658384, Avg_Score = 87.61670576885957
Episode = 265, Score = 228.53345651318313, Avg_Score = 110.80164897197885
Episode = 266, Score = -70.27394130423039, Avg_Score = 107.18608126524717
Episode = 267, Score = 238.49724943579025, Avg_Score = 105.08915385040191
Episode = 268, Score = 198.27084505497913, Avg_Score = 108.34486684843996
Episode = 269, Score = 249.61567099902484, Avg_Score = 130.92591674215876
Episode = 270, Score = -44.02368695383727, Avg_Score = 98.0543858782568
Episode = 271, Score = 277.8091892996116, Avg_Score = 100.34570645807241
Episode = 272, Score = 232.1183967521569, Avg_Score = 136.32370815570047
Episode = 273, Score = 236.47650744034897, Avg_Score = 178.66267023636112
Episode = 274, Score = 241.40546493528285, Avg_Score = 178.84291521723102
Episode = 275, Score = -122.36194689500499, Avg_Score = 143.75337487641218
