Episode = 270, Score = 256.3391290696235, Avg_Score = 148.8257874580479
Episode = 271, Score = 129.363903311471, Avg_Score = 144.48619634716118
Episode = 272, Score = 233.53155421598956, Avg_Score = 156.3511252641204
Episode = 273, Score = 25.34577628684076, Avg_Score = 142.65042220007678
Episode = 274, Score = -7.784984099430773, Avg_Score = 127.00614049427618
Episode = 275, Score = 168.21221869032263, Avg_Score = 125.65018919734011
Episode = 276, Score = 119.26674441914129, Avg_Score = 119.0886246073461
Episode = 277, Score = 280.1154624157674, Avg_Score = 148.45450845264548
Episode = 278, Score = 274.41797924777296, Avg_Score = 159.0592194823148
Episode = 279, Score = 54.60685135441352, Avg_Score = 153.34146349119118
Episode = 280, Score = 157.4142878089623, Avg_Score = 143.44897936512504
Episode = 281, Score = 134.24865652438797, Avg_Score = 143.93745468641677
Episode = 282, Score = 146.03119413452603, Avg_Score = 135.1874186782704
Episode = 283, Score = 161.41741518298994, Avg_Score = 148.79458256788536
Episode = 284, Score = 202.09229124274185, Avg_Score = 169.7823101021026
Episode = 285, Score = 114.67410947856543, Avg_Score = 164.42849918092685
Episode = 286, Score = 191.77157349727872, Avg_Score = 171.6789820887406
Episode = 287, Score = 190.1752065719892, Avg_Score = 162.68495650436282
Episode = 288, Score = 202.0871658995848, Avg_Score = 155.451875169544
Episode = 289, Score = 52.32368621285326, Avg_Score = 155.22355865538796
Episode = 290, Score = 296.8109527909869, Avg_Score = 169.16322515359042
Episode = 291, Score = -38.89124275392952, Avg_Score = 151.8492352257587
Episode = 292, Score = 155.1792316373299, Avg_Score = 152.76403897603905
Episode = 293, Score = 198.64960103698257, Avg_Score = 156.4872575614383
Episode = 294, Score = 247.87325112796324, Avg_Score = 161.06535354996043
Episode = 295, Score = 162.2897972677211, Avg_Score = 165.826922328876
Episode = 296, Score = 164.82722559647533, Avg_Score = 163.13248753879566
Episode = 297, Score = 106.95315072000156, Avg_Score = 154.8102819535969
Episode = 298, Score = 137.81710641854633, Avg_Score = 148.38327600549306
Episode = 299, Score = 219.26381108920503, Avg_Score = 165.07728849312824
Episode = 300, Score = 48.81463481926886, Avg_Score = 140.27765669595644
Episode = 301, Score = 126.34215769941001, Avg_Score = 156.8009967412904
Episode = 302, Score = 168.01310630832086, Avg_Score = 158.0843842083895
Episode = 303, Score = 152.13061298507503, Avg_Score = 153.43248540319874
Episode = 304, Score = 276.6328600776561, Avg_Score = 156.308446298168
Episode = 305, Score = 294.0448868913979, Avg_Score = 169.4839552605357
Episode = 306, Score = -20.950715985042393, Avg_Score = 150.90616110238392
Episode = 307, Score = 173.40118586132786, Avg_Score = 157.55096461651652
Episode = 308, Score = 139.21564418192366, Avg_Score = 157.69081839285428
Episode = 309, Score = 117.43872561752623, Avg_Score = 147.5083098456864
Episode = 310, Score = 236.00066425128645, Avg_Score = 166.22691278888817
Episode = 311, Score = -12.005513609582309, Avg_Score = 152.39214565798892
Episode = 312, Score = 174.96261232257137, Avg_Score = 153.087096259414
Episode = 313, Score = 133.73821005846852, Avg_Score = 151.24785596675332
Episode = 314, Score = 128.36143920594986, Avg_Score = 136.4207138795827
Episode = 315, Score = 189.63524599506948, Avg_Score = 125.97974978994986
Episode = 316, Score = 34.269804212140514, Avg_Score = 131.50180180966817
Episode = 317, Score = 176.59009579345033, Avg_Score = 131.8206928028804
Episode = 318, Score = 121.56321732558855, Avg_Score = 130.05545011724692
Episode = 319, Score = 72.53761775545561, Avg_Score = 125.56533933103984
Episode = 320, Score = 131.06216248452287, Avg_Score = 115.07148915436349
Episode = 321, Score = 294.35448682234625, Avg_Score = 145.7074891975563
Episode = 322, Score = 181.11709389111218, Avg_Score = 146.32293735441044
Episode = 323, Score = 78.87494751595933, Avg_Score = 140.8366111001595
Episode = 324, Score = 156.39481290136953, Avg_Score = 143.63994846970147
Episode = 325, Score = 96.22231161585572, Avg_Score = 134.2986550317801
Episode = 326, Score = 271.96235018725685, Avg_Score = 158.0679096292917
Episode = 327, Score = 196.67514467887494, Avg_Score = 160.07641451783417
