Episode = 237, Score = 277.82827157204014, Avg_Score = 190.68805716117845
Episode = 238, Score = 298.0526584265409, Avg_Score = 196.80589446654054
Episode = 239, Score = 253.45438460098512, Avg_Score = 225.34554487076767
Episode = 240, Score = 192.56857650400062, Avg_Score = 221.696892759145
Episode = 241, Score = 194.45129410059843, Avg_Score = 242.6679471650695
Episode = 242, Score = 246.7317152589709, Avg_Score = 244.88027706552862
Episode = 243, Score = 261.57752868942316, Avg_Score = 249.58710659221273
Episode = 244, Score = 280.48161577995506, Avg_Score = 251.18827730127586
Episode = 245, Score = 247.67711997855332, Avg_Score = 248.58231112765287
Episode = 246, Score = 262.809472736831, Avg_Score = 251.56326376478987
Episode = 247, Score = 237.06729596293815, Avg_Score = 247.48716620387967
Episode = 248, Score = 304.60364910692016, Avg_Score = 248.14226527191764
Episode = 249, Score = 282.87282793447486, Avg_Score = 251.08410960526658
Episode = 250, Score = 282.27192672303624, Avg_Score = 260.05444462717014
Episode = 251, Score = 256.06134373811443, Avg_Score = 266.21544959092176
Episode = 252, Score = 14.345399047308618, Avg_Score = 242.97681796975553
Episode = 253, Score = 260.86098154599284, Avg_Score = 242.90516325541245
Episode = 254, Score = 220.52536642919495, Avg_Score = 236.90953832033648
Episode = 255, Score = 244.4824891099711, Avg_Score = 236.59007523347822
Episode = 256, Score = 268.7741600814061, Avg_Score = 237.18654396793576
Episode = 257, Score = 242.88054920778706, Avg_Score = 237.7678692924206
Episode = 258, Score = 247.4382996001999, Avg_Score = 232.05133434174863
Episode = 259, Score = -29.502402576787247, Avg_Score = 200.8138112906224
Episode = 260, Score = 219.2876838332707, Avg_Score = 194.51538700164582
Episode = 261, Score = 270.9642819855292, Avg_Score = 196.0056808263873
Episode = 262, Score = 239.03018186945744, Avg_Score = 218.47415910860218
Episode = 263, Score = 264.0490512285876, Avg_Score = 218.79296607686166
Episode = 264, Score = 242.6148551234772, Avg_Score = 221.0019149462899
Episode = 265, Score = 43.30001626904087, Avg_Score = 200.8836676621969
Episode = 266, Score = 252.39809403488144, Avg_Score = 199.2460610575444
Episode = 267, Score = 34.73893335884429, Avg_Score = 178.43189947265014
Episode = 268, Score = 281.7764622956587, Avg_Score = 181.86571574219607
Episode = 269, Score = 264.9597992259108, Avg_Score = 211.31193592246586
Episode = 270, Score = 232.63130314702943, Avg_Score = 212.64629785384167
Episode = 271, Score = 220.2748851904601, Avg_Score = 207.57735817433482
Episode = 272, Score = 258.7704403365653, Avg_Score = 209.55138402104558
Episode = 273, Score = 226.060638101792, Avg_Score = 205.75254270836604
Episode = 274, Score = 229.6231847074698, Avg_Score = 204.45337566676525
Episode = 275, Score = 224.2094759751738, Avg_Score = 222.54432163737857
Episode = 276, Score = 218.98060117585774, Avg_Score = 219.2025723514762
