Episode = 140, Score = -62.63000485162944, Avg_Score = 60.535133723702145
Episode = 141, Score = 278.53402843041556, Avg_Score = 62.85918559067503
Episode = 142, Score = 290.74569664486404, Avg_Score = 69.35473975293306
Episode = 143, Score = 235.8527256011701, Avg_Score = 101.07593463486258
Episode = 144, Score = 253.69698307083857, Avg_Score = 129.04997717463536
Episode = 145, Score = 28.559072633772814, Avg_Score = 103.90903640476503
Episode = 146, Score = 270.14267373755166, Avg_Score = 125.19205949450584
Episode = 147, Score = 140.99441658206806, Avg_Score = 141.88774932890527
Episode = 148, Score = -10.313558758868197, Avg_Score = 142.3977318704036
Episode = 149, Score = 13.427652691241533, Avg_Score = 143.90096857814248
Episode = 150, Score = -47.40007556787483, Avg_Score = 145.42396150651797
Episode = 151, Score = 10.897101661434945, Avg_Score = 118.66026882961987
Episode = 152, Score = 4.7907934679517155, Avg_Score = 90.06477851192864
Episode = 153, Score = 0.5855501114317292, Avg_Score = 66.5380609629548
Episode = 154, Score = 118.39813146779618, Avg_Score = 53.008175802650555
Episode = 155, Score = 137.83700014200215, Avg_Score = 63.935968553473494
Episode = 156, Score = 269.47629000144934, Avg_Score = 63.86933017986327
Episode = 157, Score = 234.96632039640332, Avg_Score = 73.26652056129679
Episode = 158, Score = 132.53542074710268, Avg_Score = 87.55141851189387
Episode = 159, Score = 24.4874158140382, Avg_Score = 88.65739482417354
Episode = 160, Score = 68.99588581260485, Avg_Score = 100.2969909622215
Episode = 161, Score = 304.4148492521929, Avg_Score = 129.6487657212973
Episode = 162, Score = 252.38401193284838, Avg_Score = 154.40808756778696
Episode = 163, Score = 263.08397302946287, Avg_Score = 180.65792985959007
Episode = 164, Score = 110.74472979406991, Avg_Score = 179.89258969221746
Episode = 165, Score = 27.537557403180855, Avg_Score = 168.86264541833535
Episode = 166, Score = 208.5204754723326, Avg_Score = 162.7670639654237
Episode = 167, Score = 241.94961303371124, Avg_Score = 163.46539322915447
Episode = 168, Score = 8.321477814082982, Avg_Score = 151.0439989358525
Episode = 169, Score = 16.355539720859298, Avg_Score = 150.2308113265346
Episode = 170, Score = -55.320126294848116, Avg_Score = 137.7992101157893
Episode = 171, Score = 25.87458580493596, Avg_Score = 109.94518377106363
Episode = 172, Score = 40.70000329784381, Avg_Score = 88.77678290756315
Episode = 173, Score = 15.0257724193509, Avg_Score = 63.97096284655195
Episode = 174, Score = 297.76554270901994, Avg_Score = 82.67304413804695
Episode = 175, Score = 236.0665278139773, Avg_Score = 103.52594117912659
Episode = 176, Score = 58.729030634749876, Avg_Score = 88.54679669536833
