Episode = 229, Score = 122.71591645669807, Avg_Score = 97.67196133915878
Episode = 230, Score = 59.69554398175475, Avg_Score = 94.62674386383921
Episode = 231, Score = 50.56348963320653, Avg_Score = 91.51709755188173
Episode = 232, Score = 94.12164411189366, Avg_Score = 94.01773220776155
Episode = 233, Score = 104.12854931909447, Avg_Score = 101.09313539803493
Episode = 234, Score = 175.65989497805703, Avg_Score = 106.74891298288847
Episode = 235, Score = 181.60965557800046, Avg_Score = 123.06300063793728
Episode = 236, Score = 35.21994918749931, Avg_Score = 109.41903537606076
Episode = 237, Score = 91.5351384683023, Avg_Score = 103.98623812035672
Episode = 238, Score = 140.95914975375487, Avg_Score = 105.62089314682615
Episode = 239, Score = 173.50782005241186, Avg_Score = 110.70008350639753
Episode = 240, Score = 103.94732471789246, Avg_Score = 115.12526158001128
Episode = 241, Score = 121.56076984671026, Avg_Score = 122.22498960136166
Episode = 242, Score = 79.40701144625356, Avg_Score = 120.75352633479766
Episode = 243, Score = 147.61000491517427, Avg_Score = 125.10167189440563
Episode = 244, Score = -92.03939002324819, Avg_Score = 98.33174339427512
Episode = 245, Score = 95.56475336875269, Avg_Score = 89.72725317335035
Episode = 246, Score = 87.68399216012557, Avg_Score = 94.97365747061296
Episode = 247, Score = 129.7326022312522, Avg_Score = 98.79340384690798
Episode = 248, Score = 60.316893556615945, Avg_Score = 90.72917822719405
Episode = 249, Score = 142.50628672239395, Avg_Score = 87.62902489419227
Episode = 250, Score = 82.42118562640955, Avg_Score = 85.47641098504397
Episode = 251, Score = 75.94724025096627, Avg_Score = 80.91505802546958
Episode = 252, Score = 129.2780846858042, Avg_Score = 85.90216534942465
Episode = 253, Score = 79.70086065953738, Avg_Score = 79.11125092386096
Episode = 254, Score = 42.66590903939288, Avg_Score = 92.58178083012507
Episode = 255, Score = 136.64915664687024, Avg_Score = 96.69022115793682
Episode = 256, Score = 162.90283297147522, Avg_Score = 104.21210523907178
Episode = 257, Score = 180.05434693380593, Avg_Score = 109.24427970932716
Episode = 258, Score = 109.69330232909947, Avg_Score = 114.1819205865755
Episode = 259, Score = -95.32147196812443, Avg_Score = 90.39914471752367
Episode = 260, Score = 87.93055581650722, Avg_Score = 90.95008173653343
Episode = 261, Score = 141.09213244310283, Avg_Score = 97.46457095574708
Episode = 262, Score = 101.7500628768811, Avg_Score = 94.71176877485479
Episode = 263, Score = 90.3205795147069, Avg_Score = 95.77374066037171
Episode = 264, Score = 189.36261015098952, Avg_Score = 110.4434107715314
Episode = 265, Score = 117.95064261822442, Avg_Score = 108.57355936866682
Episode = 266, Score = 69.01593492324258, Avg_Score = 99.18486956384353
Episode = 267, Score = 16.13630231782591, Avg_Score = 82.79306510224555
Episode = 268, Score = 143.37513114552138, Avg_Score = 86.16124798388773
Episode = 269, Score = 25.344624419385685, Avg_Score = 98.22785762263877
Episode = 270, Score = 55.1567933343448, Avg_Score = 94.95048137442252
Episode = 271, Score = 109.26371204217493, Avg_Score = 91.76763933432973
Episode = 272, Score = 72.05781728021606, Avg_Score = 88.7984147746632
Episode = 273, Score = 96.68365768334085, Avg_Score = 89.43472259152662
Episode = 274, Score = 148.91455369605822, Avg_Score = 85.38991694603348
Episode = 275, Score = 128.7629644399741, Avg_Score = 86.47114912820845
Episode = 276, Score = 163.01323978094578, Avg_Score = 95.87087961397876
Episode = 277, Score = 113.00039233177114, Avg_Score = 105.5572886153733
Episode = 278, Score = 90.5011647527265, Avg_Score = 100.2698919760938
Episode = 279, Score = 176.62803171672394, Avg_Score = 115.39823270582762
Episode = 280, Score = 149.77958900880338, Avg_Score = 124.86051227327349
Episode = 281, Score = 187.6532031518248, Avg_Score = 132.69946138423848
Episode = 282, Score = 150.0436653508168, Avg_Score = 140.49804619129856
Episode = 283, Score = 119.18101326267893, Avg_Score = 142.7477817492324
Episode = 284, Score = 152.50032075906836, Avg_Score = 143.10635845553338
Episode = 285, Score = 181.88609960129585, Avg_Score = 148.41867197166556
Episode = 286, Score = 86.12574946706602, Avg_Score = 140.72992294027756
Episode = 287, Score = 121.60169143422524, Avg_Score = 141.590052850523
Episode = 288, Score = 116.95072393320052, Avg_Score = 144.23500876857037
Episode = 289, Score = 7.218531265020644, Avg_Score = 127.29405872340006
Episode = 290, Score = 163.31198796125585, Avg_Score = 128.6472986186453
Episode = 291, Score = 172.32077417709758, Avg_Score = 127.11405572117258
Episode = 292, Score = 161.57535308519547, Avg_Score = 128.26722449461045
Episode = 293, Score = 96.42238730624695, Avg_Score = 125.99136189896726
Episode = 294, Score = 151.42121102844584, Avg_Score = 125.88345092590501
Episode = 295, Score = 152.52350960522963, Avg_Score = 122.94719192629839
Episode = 296, Score = 79.26079624084709, Avg_Score = 122.26069660367651
Episode = 297, Score = 14.61073925665346, Avg_Score = 111.56160138591932
