Episode = 164, Score = -167.1233347285508, Avg_Score = 90.36842857904041
Episode = 165, Score = 13.449379181599085, Avg_Score = 89.30860510235202
Episode = 166, Score = -207.71361349945053, Avg_Score = 84.63139314525291
Episode = 167, Score = -200.68677807764942, Avg_Score = 80.49206199029742
Episode = 168, Score = 244.93214647096778, Avg_Score = 80.57809688863634
Episode = 169, Score = 1.8761275086363867, Avg_Score = 77.44990531877907
Episode = 170, Score = -17.93978644436254, Avg_Score = 76.71029290945404
Episode = 171, Score = -655.1350902866161, Avg_Score = 68.18915165279078
Episode = 172, Score = -296.6813570344724, Avg_Score = 62.95111133372524
Episode = 173, Score = -228.53115504352255, Avg_Score = 58.0397772946894
Episode = 174, Score = -235.79913062641592, Avg_Score = 53.146542441922435
Episode = 175, Score = -265.2982326279214, Avg_Score = 49.98372244990087
Episode = 176, Score = -44.58445689206336, Avg_Score = 47.169153598720385
Episode = 177, Score = -187.6347609157276, Avg_Score = 42.9575421430188
Episode = 178, Score = -245.8902004973657, Avg_Score = 37.79392641604375
Episode = 179, Score = 274.49024001754367, Avg_Score = 38.20944758295474
Episode = 180, Score = -349.39211791088337, Avg_Score = 32.21034967137787
Episode = 181, Score = -330.27700691205314, Avg_Score = 29.632577607034673
Episode = 182, Score = -317.22669540633905, Avg_Score = 23.903758414115426
Episode = 183, Score = -385.80060737132254, Avg_Score = 25.299877744825668
Episode = 184, Score = -203.36166952861458, Avg_Score = 20.57883322354802
Episode = 185, Score = -248.83866435814113, Avg_Score = 15.680144103537662
Episode = 186, Score = -225.93232830784837, Avg_Score = 10.432233259272381
Episode = 187, Score = -171.21244628702235, Avg_Score = 6.334532191252818
Episode = 188, Score = -115.9919867583391, Avg_Score = 7.589325704285093
Episode = 189, Score = -182.42631036448716, Avg_Score = 3.17583469690845
Episode = 190, Score = -172.2772844224719, Avg_Score = -1.1430165517547923
Episode = 191, Score = -249.2743925445422, Avg_Score = -6.2673189234469575
Episode = 192, Score = -535.6088303557784, Avg_Score = -10.936218842651115
Episode = 193, Score = -190.14145558313672, Avg_Score = -15.34240629667397
Episode = 194, Score = -207.08498194010684, Avg_Score = -15.893155452218595
Episode = 195, Score = -270.3073756627724, Avg_Score = -15.362011553437487
Episode = 196, Score = -138.91193664273104, Avg_Score = -18.75179172048706
Episode = 197, Score = -125.95622349060865, Avg_Score = -22.676703411575573
Episode = 198, Score = -151.26939527777046, Avg_Score = -26.86251455161698
Episode = 199, Score = -389.5760531728212, Avg_Score = -33.36362807821041
Episode = 200, Score = -1048.4019785545293, Avg_Score = -45.988382602715355
Episode = 201, Score = -280.4625345834719, Avg_Score = -51.11569552842727
Episode = 202, Score = -96.41857599726761, Avg_Score = -51.79361754713964
Episode = 203, Score = -250.05755352028578, Avg_Score = -56.59124308042961
Episode = 204, Score = -231.60480919152394, Avg_Score = -57.222101208663865
Episode = 205, Score = -393.0326448127489, Avg_Score = -57.70514740013504
Episode = 206, Score = -295.85474668352697, Avg_Score = -62.05329072880111
Episode = 207, Score = -344.66723234674845, Avg_Score = -65.07278038994222
Episode = 208, Score = -349.02133363369256, Avg_Score = -70.0396186949176
Episode = 209, Score = -219.65812346968875, Avg_Score = -74.83486131546655
Episode = 210, Score = -2.2181212586755095, Avg_Score = -77.31860629504304
Episode = 211, Score = -394.06927753887607, Avg_Score = -80.13394665030066
Episode = 212, Score = -278.4576311578008, Avg_Score = -81.59264991565855
Episode = 213, Score = -329.4290499367372, Avg_Score = -84.63468699506346
Episode = 214, Score = -185.02955810563918, Avg_Score = -88.84875312571913
Episode = 215, Score = -203.05932993928081, Avg_Score = -90.66078535839813
Episode = 216, Score = 15.337974944083768, Avg_Score = -87.02719702832837
Episode = 217, Score = -49.07332466160397, Avg_Score = -86.40577502232829
Episode = 218, Score = -74.32048989790044, Avg_Score = -85.6834130685123
Episode = 219, Score = -348.23010996437756, Avg_Score = -91.23450895292744
Episode = 220, Score = 175.4916095455156, Avg_Score = -89.29071302820559
Episode = 221, Score = -41.83227804659344, Avg_Score = -92.18078513810089
Episode = 222, Score = -148.27895619424132, Avg_Score = -95.37709533823971
Episode = 223, Score = -117.21071265958534, Avg_Score = -98.38786952238702
Episode = 224, Score = -266.2763225784554, Avg_Score = -103.90307462447416
Episode = 225, Score = -39.235316226117874, Avg_Score = -103.99735783107181
Episode = 226, Score = -67.74891055062503, Avg_Score = -106.801237748701
Episode = 227, Score = 146.42131088874282, Avg_Score = -102.02872479989973
Episode = 228, Score = -224.59998963795374, Avg_Score = -106.5875859105769
Episode = 229, Score = -166.04076297042604, Avg_Score = -109.9006869167206
Episode = 230, Score = -248.3680684529085, Avg_Score = -115.11434910512244
Episode = 231, Score = -580.9209526731358, Avg_Score = -123.32907385522653
Episode = 232, Score = -123.33823955283302, Avg_Score = -127.13312868363495
Episode = 233, Score = -184.5321683485323, Avg_Score = -127.12255994290612
Episode = 234, Score = 45.438716491156384, Avg_Score = -126.61342346663645
Episode = 235, Score = -114.10173623321269, Avg_Score = -126.53121489633685
Episode = 236, Score = -180.92116910765114, Avg_Score = -126.85643795616481
Episode = 237, Score = -183.03370765313332, Avg_Score = -127.2229856169286
Episode = 238, Score = -196.6619379855495, Avg_Score = -127.59163808650969
Episode = 239, Score = -249.44614741132924, Avg_Score = -128.89757225312147
Episode = 240, Score = -153.73452816549556, Avg_Score = -132.23201299736166
Episode = 241, Score = -156.5604160600514, Avg_Score = -136.17449786714633
Episode = 242, Score = -193.2983948917592, Avg_Score = -136.93505894876859
Episode = 243, Score = -264.1637173341208, Avg_Score = -137.38428689399808
Episode = 244, Score = -158.71442278873332, Avg_Score = -141.24242735893569
Episode = 245, Score = -55.58570792090957, Avg_Score = -139.4194216650643
Episode = 246, Score = -189.21135455049227, Avg_Score = -143.7232777596005
Episode = 247, Score = -167.32791788059052, Avg_Score = -147.53634660932116
Episode = 248, Score = -133.94271681769064, Avg_Score = -151.1745287723558
Episode = 249, Score = -316.3133381943328, Avg_Score = -151.60810629685778
Episode = 250, Score = -223.26994775859288, Avg_Score = -156.15777585695096
Episode = 251, Score = -72.66531679214184, Avg_Score = -158.36132162612677
Episode = 252, Score = -156.21518699824486, Avg_Score = -161.42716060316366
Episode = 253, Score = -225.71259839344145, Avg_Score = -165.65936588985514
Episode = 254, Score = 158.69085248667392, Avg_Score = -163.65104845456463
Episode = 255, Score = -107.1507141501373, Avg_Score = -162.7583906013996
Episode = 256, Score = -251.31843461207947, Avg_Score = -167.50605789017564
Episode = 257, Score = -60.908478160019186, Avg_Score = -170.75861267789998
